Name,Current price,Change(%),Open,High,Low,Volume
GEN DIGITAL INC.,21.23,111.25,22.38,22.47,19.08,24620617
RIVIAN AUTOMOTIVE INC.,15.6,0.45,15.25,15.66,15.0,24617494
HUNTINGTON BANCSHARES INC.,12.59,1.04,12.31,12.67,12.21,24041504
MIRATI THERAPEUTICS INC.,58.7,0.0,58.86,58.99,58.54,20994430
OPENDOOR TECHNOLOGIES INC,3.5,10.85,3.42,3.51,3.25,20957753
CISCO SYSTEMS INC.,50.18,0.0,50.14,50.38,49.62,20533102
FARADAY FUTURE INTELLIGENT ELECTRIC,0.1175,17.63,0.1272,0.1275,0.1003,19129247
JETBLUE AIRWAYS,5.74,2.87,5.51,5.74,5.49,19090370
U POWER LTD.,0.0839,17.8,0.0895,0.0895,0.0817,18112254
SUNRUN INC.,14.34,13.76,14.3,14.46,13.52,17096850
CLEANSPARK INC.,8.28,10.96,8.11,8.61,8.03,16921442
GRAB HOLDINGS LTD.,3.22,2.88,3.13,3.22,3.1,16327313
WARNER BROS. DISCOVERY,10.25,12.01,10.37,10.37,10.13,16110550
JD.COM INC. ADS,21.78,11.98,21.83,21.88,21.52,15420947
OPKO HEALTH INC.,0.995,11.49,1.0,1.01,0.966,15007475
PAYPAL HOLDINGS INC.,62.42,0.64,61.79,62.72,61.0,14618910
PARAMOUNT GLOBAL,14.43,11.7,14.52,14.55,14.26,14524382
SIRIUS XM HOLDINGS INC.,5.17,11.15,5.12,5.18,5.05,14207236
AGNC INVESTMENT,9.55,11.24,9.47,9.61,9.41,13647069
CSX CORP.,36.53,0.69,36.24,36.75,36.07,13400783
DRAFTKINGS INC.,41.59,2.31,40.13,42.02,40.07,13374053
RIOT PLATFORMS INC.,11.21,10.8,11.0,11.4,10.92,13330915
BITFARMS LTD.,2.24,13.03,2.26,2.33,2.18,13112579
BAKER HUGHES COMPANY,28.99,1.26,28.7,29.14,28.58,12945970
AKANDA CORP.,0.3935,10.13,0.3698,0.71,0.354,12802407
FUELCELL ENERGY INC.,1.27,13.05,1.26,1.28,1.24,12712744
JAGUAR HEALTH INC.,0.0968,12.91,0.1,0.101,0.0928,12352081
SUPER MICRO COMPUTER INC.,579.63,10.66,592.52,606.0,565.0,12189571
TERAWULF INC.,1.78,12.73,1.76,1.87,1.72,11952828
MARVELL TECHNOLOGY INC.,67.53,0.99,67.1,68.67,66.7,11434063
STARBUCKS CORP.,92.99,10.41,92.69,93.61,91.67,11366586
WALGREENS BOOTS ALLIANCE INC.,22.64,12.62,23.04,23.07,22.47,11317626
VALLEY NATIONAL BANCORP,9.21,2.79,8.72,9.36,8.69,11167900
AFFIRM HOLDINGS INC.,41.01,3.38,38.25,41.04,38.04,11082851
GREEN GIANT INC.,0.0339,13.69,0.036,0.036,0.0334,10795808
ZOOMINFO TECHNOLOGIES INC.,15.31,13.41,15.8,15.8,15.3,10508197
MICRON TECHNOLOGY INC.,86.48,1.02,85.07,86.61,84.94,10450043
QUALCOMM INC.,141.69,0.41,140.65,142.14,139.26,10442665
BLUEBIRD BIO INC.,0.9561,14.27,1.0,1.005,0.9211,10392426
ON SEMICONDUCTOR,70.83,0.91,69.2,71.14,68.78,9865430
PAGAYA TECHNOLOGIES,1.11,15.93,1.19,1.19,1.1,9746225
MICROCHIP TECHNOLOGY INC.,84.29,11.59,82.84,85.29,82.4,9615472
INVIVYD INC.,4.7,12.08,4.71,4.8,4.65,9505692
ATLASSIAN CORP.,217.39,114.72,230.13,231.56,211.05,9354346
BIOFRONTERA INC.,0.92,131.09,1.24,1.24,0.79,9197100
FIBROGEN INC,1.86,121.52,2.38,2.49,1.72,9020039
CYNGN INC.,0.1943,110.34,0.206,0.206,0.1735,8776160
CANAAN INC. ADS,1.33,13.62,1.36,1.38,1.28,8745232
LYFT INC.,12.75,11.09,12.72,12.88,12.4,8612738
FORTINET INC.,66.44,10.02,66.34,66.99,65.89,8320021
MONDELEZ INTERNATIONAL INC.,76.87,0.43,76.9,77.2,76.07,8314801
NOVAVAX INC.,3.93,12.24,4.01,4.02,3.82,8302493
LESLIE S INC.,7.0,2.49,7.27,7.97,6.71,8283257
CONFLUENT INC.,24.13,5.97,23.15,24.45,22.95,8179329
THE TRADE DESK INC.,70.0,4.15,68.49,70.61,67.33,8032214
VOLCON INC.,0.0891,110.81,0.0926,0.1,0.0875,7940004
PDD HOLDINGS INC. ADS,124.59,11.58,122.63,125.11,122.25,7930621
DENTSPLY SIRONA INC.,34.19,11.47,34.22,34.45,33.52,7922604
SUNPOWER CORP.,3.43,17.3,3.56,3.56,3.4,7861614
CCSC TECHNOLOGY INTERNATIONAL HLD.,5.17,146.26,5.78,5.9,4.2,7851220
DATADOG INC.,134.31,5.84,132.01,135.22,130.25,7697226
GERON CORP.,1.83,14.69,1.9,1.9,1.82,7643434
GILEAD SCIENCES INC.,76.96,11.54,77.61,77.99,76.91,7588850
ROBINHOOD MARKETS INC.,10.92,0.09,10.75,11.02,10.65,7401547
ETSY INC.,75.7,4.24,72.22,76.67,70.88,7350844
MOMENTUS INC.,1.03,19.77,0.84,1.12,0.84,7300055
ROMA GREEN FINANCE,0.9051,20.52,1.01,1.01,0.8321,7271215
FLEX,25.09,0.2,25.23,25.29,24.65,7182642
TUSIMPLE HOLDINGS INC.,0.3009,9.34,0.2666,0.3448,0.2627,7141682
NEUROBO PHARMACEUTICALS INC.,5.13,16.22,5.56,6.42,4.56,6956098
TINGO GROUP INC.,0.69,0.0,0.7121,0.7993,0.665,6896133
IQIYI INC. ADS,3.27,10.61,3.22,3.28,3.17,6858516
CHARGE ENTERPRISES INC.,0.1446,6.32,0.1326,0.1478,0.1274,6760724
ASTRAZENECA PLC ADS,65.64,11.81,65.97,66.1,65.58,6745489
VIAVI SOLUTIONS INC.,9.49,14.53,9.94,10.05,9.2,6682821
AGENUS INC.,0.6372,0.31,0.63,0.6478,0.602,6601340
VIATRIS INC.,11.85,10.17,11.82,11.94,11.69,6442216
FIFTH THIRD BANCORP,33.85,0.21,33.35,34.07,33.05,6420401
23ANDME HOLDING CO.,0.6937,14.66,0.739,0.74,0.67,6414016
IMMUNOGEN INC.,29.26,10.34,29.36,29.47,29.21,6353946
ZIONS BANCORP.,39.65,1.02,38.1,39.81,37.96,6329623
UPSTART HOLDINGS INC.,32.7,1.24,31.46,32.99,30.82,6219302
COINBASE GLOBAL INC.,129.22,0.21,126.9,130.13,125.55,6109963
EBAY INC.,41.94,0.58,41.56,41.98,41.01,6097538
NEXTRACKER INC.,57.99,2.64,55.82,58.29,54.17,6072632
APPLOVIN CORP.,45.86,11.96,41.0,45.89,40.71,6023717
RUMBLE INC.,6.91,10.14,6.82,7.32,6.66,6008964
VODAFONE GROUP PLC ADS,8.74,0.11,8.81,8.82,8.7,5992204
KEURIG DR PEPPER INC.,31.65,11.03,31.77,31.9,31.39,5962851
EXELON CORP.,34.35,11.91,34.7,34.7,33.94,5819726
THE KRAFT HEINZ CO.,37.65,10.29,37.75,37.91,37.44,5809553
UNITED AIRLINES HLD.,41.37,10.31,41.32,41.54,40.9,5737761
LI AUTO INC. ADS,28.34,12.78,28.39,28.78,28.26,5723779
MATTEL INC.,19.02,4.11,18.79,19.19,18.53,5698183
HERTZ GLOBAL HOLDINGS INC,8.7,3.2,8.3,8.74,8.16,5677082
BILIBILI INC. ADS,8.94,14.39,9.1,9.12,8.86,5642608
ARCUTIS BIOTHERAPEUTICS INC.,6.07,18.58,6.66,6.87,5.88,5612086
VNET GROUP INC. ADS,1.49,110.78,1.64,1.64,1.46,5547530
ARRAY TECHNOLOGIES INC.,13.68,10.29,13.35,13.86,13.22,5539657
WESTERN DIGITAL,58.16,1.32,57.25,58.25,57.0,5529566
IOVANCE BIOTHERAPEUTICS INC.,7.9,11.99,7.8,7.98,7.6,5527572
MONSTER BEVERAGE,55.35,11.05,55.8,55.93,55.0,5481813
XP INC.,26.26,4.21,24.93,26.28,24.89,5353648
PEPSICO INC.,170.97,10.43,171.24,171.96,170.1,5307883
SOLID POWER INC.,1.7,14.49,1.83,1.84,1.62,5303279
PETCO HEALTH AND WELLNESS CO.,2.48,0.0,2.46,2.48,2.34,5243240
CIPHER MINING INC.,2.68,16.29,2.87,2.87,2.63,5224173
REDFIN CORP.,8.46,12.2,8.36,8.69,8.14,5130262
PENN ENTERTAINMENT INC.,21.63,1.12,21.1,21.85,20.88,5114284
MATCH GROUP INC.,37.42,12.17,38.15,38.39,37.21,5103386
EVGO INC.,2.12,16.19,2.21,2.21,2.03,4977144
CHARTER COMMUNICATIONS INC.,319.21,116.51,344.99,345.01,316.53,4973244
SCIENJOY HOLDING,1.38,158.93,3.39,3.39,1.13,4954303
PLAINS ALL AMERICAN PIPELINE L.P.,15.27,11.42,15.49,15.54,15.23,4953737
TEXAS INSTRUMENTS INC.,159.2,10.31,158.38,159.8,157.77,4922637
SOUNDHOUND AI INC.,1.7,10.58,1.69,1.72,1.64,4869627
EOS ENERGY ENTERPRISES INC.,1.21,13.2,1.23,1.26,1.18,4865012
HESAI GROUP ADS,4.15,3.23,4.04,4.2,3.28,4850252
TRUGOLF HOLDINGS INC.,1.64,23.31,1.61,1.79,1.41,4842808
DOCUSIGN INC.,58.12,11.37,58.61,59.13,57.24,4827475
CONNEXA SPORTS TECHNOLOGIES,0.3598,111.64,0.4005,0.407,0.3302,4802825
ASSET ENTITIES INC.,0.7201,16.15,0.64,0.8181,0.62,4792898
ARDELYX INC.,8.89,14.31,9.1,9.26,8.76,4788437
LEXICON PHARMACEUTICALS INC.,2.13,7.58,2.05,2.14,1.99,4750404
APPLIED MATERIALS INC.,168.18,0.72,165.92,169.18,165.46,4741027
ESPERION THERAPEUTICS INC.,2.19,5.8,2.09,2.21,2.03,4713896
APA CORP.,30.24,11.82,30.76,30.76,30.16,4652278
LYTUS TECHNOLOGIES HLD.,0.0919,18.1,0.0943,0.099,0.0918,4648752
RECURSION PHARMACEUTICALS INC.,9.29,12.72,9.24,9.39,8.8,4646069
TRIP.COM GROUP LTD.,37.0,11.07,36.58,37.03,36.58,4517490
COGNIZANT TECHNOLOGY SOLUTIONS,77.89,0.01,77.48,78.2,77.15,4500620
PACIFIC BIOSCIENCES OF CALIFORNIA,6.75,10.15,6.6,6.82,6.45,4491651
GRI BIO INC.,1.44,126.15,1.62,1.73,1.35,4477182
SEASTAR MEDICAL HOLDING,0.81,12.37,0.8258,0.899,0.805,4449426
SHOALS TECHNOLOGIES GROUP INC.,14.3,0.92,13.77,14.42,13.52,4385413
GAMIDA CELL,0.351,13.84,0.37,0.37,0.313,4384454
HOST HOTELS & RESORTS INC.,19.41,10.05,19.24,19.45,19.04,4375062
IMMUNITYBIO INC.,4.14,13.42,3.57,4.37,3.53,4360974
HONEYWELL INTERNATIONAL INC.,196.11,10.61,197.04,200.05,195.54,4317910
ENPHASE ENERGY INC.,101.76,13.49,102.97,102.97,98.88,4307906
URANIUM ROYALTY,3.31,17.54,3.49,3.49,3.22,4302251
ARM HOLDINGS PLC ADS,71.0,0.68,71.1,71.95,70.0,4298876
FASTENAL COMPANY,70.65,1.16,69.93,70.95,69.74,4296746
POLESTAR AUTOMOTIVE HOLDING UK,1.79,12.19,1.85,1.85,1.67,4294304
AIRBNB INC.,146.55,0.04,143.99,148.08,141.24,4252797
HOLOGIC INC.,72.44,12.65,74.4,75.05,71.67,4242539
FATE THERAPEUTICS INC.,6.52,13.55,6.7,6.83,6.19,4236587
SIGMA LITHIUM CORP.,16.85,113.68,19.11,19.2,16.14,4214662
APPLIED OPTOELECTRONICS INC.,18.83,13.98,16.49,18.99,16.32,4200842
CELSIUS HOLDINGS INC.,53.35,4.4,51.57,53.79,50.9,4197672
T-MOBILE US INC.,161.78,10.44,162.74,163.23,161.29,4164295
KIORA PHARMACEUTICALS INC.,0.798,16.12,0.7669,0.87,0.7312,4106590
WORKHORSE GROUP INC.,0.262,11.87,0.264,0.27,0.2526,4079071
COPART INC.,50.03,1.69,49.2,50.24,48.92,4074209
EXTREME NETWORKS INC.,12.59,14.77,13.3,13.41,12.58,4069680
ARAVIVE INC.,0.0401,0.0,0.0435,0.046,0.0401,4040076
NETFLIX INC.,564.64,10.51,564.52,567.8,562.37,4032843
C4 THERAPEUTICS INC.,5.37,17.09,5.73,5.74,5.21,4029765
ZOOM VIDEO COMMUNICATIONS INC.,64.27,10.89,64.28,64.79,63.36,4006888
LUMINAR TECHNOLOGIES INC.,2.87,11.71,2.86,2.91,2.8,4002814
PATTERSON-UTI ENERGY INC.,10.45,13.6,10.72,10.81,10.41,3995466
COHERUS BIOSCIENCES INC.,2.06,11.44,2.03,2.1,1.93,3979834
CLOVER HEALTH INVESTMENTS,0.9951,10.49,0.99,1.02,0.99,3954015
ALTIMMUNE INC.,9.32,15.67,9.61,9.95,9.26,3948491
HARMONIC INC.,13.14,4.37,12.58,13.31,12.49,3913754
XCEL ENERGY INC.,59.82,12.16,60.67,60.68,59.26,3901771
CARIBOU BIOSCIENCES INC.,6.73,0.6,6.55,6.81,6.35,3877427
STONECO LTD.,18.21,1.85,17.67,18.34,17.67,3864651
SEALSQ CORP,2.3,11.29,2.53,2.54,2.13,3855674
AURORA INNOVATION INC.,3.15,0.32,3.04,3.18,2.95,3851755
BLINK CHARGING CO.,2.42,14.35,2.48,2.5,2.39,3816330
CONSTELLATION ENERGY,129.71,1.63,127.01,133.07,126.43,3781674
BIT DIGITAL INC. ORD.,2.56,14.83,2.62,2.67,2.5,3771887
TREASURE GLOBAL INC.,0.0865,2.73,0.0844,0.0865,0.079,3762622
INPIXON,0.0534,1.91,0.0521,0.054,0.0519,3738336
CAESARS ENTERTAINMENT INC.,43.41,11.34,43.48,43.84,42.5,3733599
RAIN ONCOLOGY INC.,1.21,0.0,1.24,1.27,1.21,3706028
WILLSCOT MOBILE MINI HLD.,50.46,3.76,48.63,50.73,48.31,3680382
ROKU INC.,91.03,2.68,89.06,91.21,87.9,3622055
NUTANIX INC.,57.86,1.37,57.27,58.95,57.13,3616721
MICROVAST HOLDINGS INC.,0.9026,12.59,0.9186,0.9346,0.8711,3616156
AURORA CANNABIS INC.,0.388,12.73,0.4033,0.4079,0.3877,3570189
GEVO INC.,0.8739,15.32,0.9301,0.9301,0.8702,3546587
ALLEGRO MICROSYSTEMS INC.,28.66,11.65,29.42,29.5,28.46,3505079
SUNSHINE BIOPHARMA INC.,0.242,13.47,0.2484,0.255,0.21,3457442
SINTX TECHNOLOGIES INC.,0.1553,3.53,0.153,0.1629,0.149,3426072
WW INTERNATIONAL INC.,4.02,1.77,3.87,4.03,3.77,3413313
APPLIED DIGITAL,4.69,16.39,4.98,5.04,4.66,3403659
KANZHUN LTD.,14.0,13.25,14.28,14.51,13.93,3383625
IRIS ENERGY LTD.,3.79,1.07,3.71,3.93,3.65,3375280
ENOVIX CORP.,9.66,2.55,9.29,9.74,8.95,3365619
MODERNA INC.,97.5,11.54,97.39,98.21,95.3,3352347
FRESHWORKS INC.,22.33,11.89,22.36,22.41,21.64,3317995
CANOPY GROWTH CORP.,4.64,17.75,4.99,5.03,4.61,3231433
PLAINS GP HLD.,16.02,11.48,16.2,16.24,15.93,3205488
MARQETA INC.,6.05,0.5,5.93,6.12,5.89,3168844
SKYWORKS SOLUTIONS INC.,101.16,11.75,101.77,101.8,99.42,3140661
CREDO TECHNOLOGY GROUP HOLDING LTD,21.85,6.27,20.4,22.0,20.28,3073677
CINGULATE INC.,1.33,160.42,2.0,2.0,1.28,3050887
INSPIRE VETERINARY PARTNERS,0.158,12.71,0.16,0.1635,0.1501,3009491
RIGETTI COMPUTING INC.,1.27,13.79,1.32,1.32,1.22,3007643
BIOCRYST PHARMACEUTICALS INC.,5.08,13.79,5.25,5.25,4.95,2998876
MOBILEYE GLOBAL INC.,26.57,2.98,25.55,26.8,25.44,2996390
COLUMBIA BANKING SYSTEM INC.,19.5,0.98,18.84,19.54,18.84,2969191
IROBOT CORP.,13.01,14.62,13.52,13.55,12.87,2960670
ARES CAPITAL CORP.,20.17,0.45,20.03,20.22,20.0,2949844
ANALOG DEVICES INC.,192.1,0.05,190.33,192.87,189.74,2948446
AMERICAN ELECTRIC POWER CO.,78.63,11.33,78.94,79.32,77.78,2947102
FRACTYL HEALTH INC.,12.85,1.0,13.75,14.41,12.7,2947038
MANGOCEUTICALS INC.,0.4409,23.61,0.35,0.4498,0.35,2939381
ADDVANTAGE TECHNOLOGIES GROUP,0.4493,126.36,0.5,0.74,0.3811,2904041
KARYOPHARM THERAPEUTICS INC.,1.04,15.56,0.91,1.08,0.86,2890418
SERES THERAPEUTICS INC.,1.1,14.35,1.14,1.14,1.08,2851616
NEWELL BRANDS INC.,8.32,11.77,8.34,8.44,8.15,2839907
R1 RCM INC.,10.79,0.37,10.67,10.9,10.42,2828761
ALLOGENE THERAPEUTICS INC.,4.05,9.16,3.67,4.08,3.54,2818204
LIBERTY BROADBAND,66.88,117.66,73.38,73.45,66.41,2810050
VAXCYTE INC.,75.27,10.34,75.1,75.72,72.37,2780793
RISKON INTERNATIONAL INC.,0.106,11.76,0.1016,0.1092,0.101,2757925
ZILLOW GROUP INC.,57.65,11.22,57.21,58.03,55.82,2755974
ROIVANT SCIENCES,9.89,11.59,9.95,10.08,9.82,2741160
INTERACTIVE BROKERS GROUP INC.,96.13,5.79,91.43,97.12,91.35,2720905
CELULARITY INC.,0.54,10.63,0.4881,0.54,0.4388,2704348
ADVERUM BIOTECHNOLOGIES INC.,1.42,19.33,1.2,1.5,1.19,2690104
FRONTIER GROUP HLD.,5.4,1.69,5.26,5.41,5.1,2680819
BROADCOM INC.,1224.34,2.03,1208.75,1234.69,1205.15,2668929
C.H. ROBINSON WORLDWIDE INC.,74.13,0.86,73.13,75.05,72.4,2667589
FIRST SOLAR INC.,141.82,14.1,143.98,144.02,138.83,2620115
DROPBOX INC.,32.47,0.62,32.12,32.83,32.12,2614810
SNDL INC.,1.36,12.16,1.38,1.38,1.33,2593342
AMGEN INC.,323.19,10.42,323.64,325.77,320.75,2585923
AST SPACEMOBILE INC.,2.84,12.07,2.89,2.89,2.79,2578845
NEOGEN CORP.,15.63,2.16,15.08,15.77,14.76,2576738
CROWN ELECTROKINETICS,0.123,17.52,0.1322,0.1329,0.1147,2574477
FOX CORP.,31.8,11.88,32.2,32.31,31.73,2561414
DOORDASH INC.,109.5,2.05,107.08,109.99,105.2,2561401
DEXCOM INC.,120.96,11.34,122.21,122.45,119.63,2559747
NASDAQ INC.,56.65,10.77,56.92,57.41,56.32,2556831
BALLARD POWER SYSTEMS INC.,3.27,12.39,3.32,3.32,3.18,2555173
ELECTRONIC ARTS INC.,136.64,10.93,137.82,138.71,135.24,2547445
ADOBE INC.,634.76,1.09,624.79,638.25,617.01,2542763
PALO ALTO NETWORKS INC.,345.06,1.5,339.56,346.43,339.0,2540323
SYMBOTIC INC.,50.45,7.75,47.18,50.58,46.6,2539333
TG THERAPEUTICS INC.,16.46,12.49,16.5,16.71,16.25,2513787
KINTARA THERAPEUTICS INC.,0.1249,13.18,0.1262,0.1288,0.1221,2487594
INNOVIZ TECHNOLOGIES,1.66,12.35,1.68,1.68,1.61,2475076
2U INC.,0.7926,18.29,0.87,0.8897,0.7691,2470063
VIKING THERAPEUTICS INC.,23.45,12.09,23.88,23.94,22.51,2464466
DOLLAR TREE INC.,138.71,2.27,135.0,138.96,133.93,2452534
GE HEALTHCARE TECHNOLOGIES,73.91,10.59,74.03,74.36,72.52,2446671
HASHICORP INC.,23.23,3.34,22.73,23.46,22.41,2440089
THE GOODYEAR TIRE & RUBBER CO.,14.0,10.28,13.8,14.12,13.68,2432334
AMICUS THERAPEUTICS INC.,12.44,11.82,12.43,12.51,11.99,2415577
BAIDU INC. ADS,102.79,12.09,103.68,103.73,102.16,2395056
CYTOKINETICS INC.,81.87,0.76,80.49,84.05,79.14,2391591
COSTCO WHOLESALE,709.48,0.71,703.34,714.28,702.26,2377629
CROWDSTRIKE HOLDINGS INC.,303.57,1.4,299.75,305.21,296.71,2374546
ADAPTIMMUNE THERAPEUTICS PLC ADS,1.04,4.0,1.0,1.06,0.92,2341197
OLD NATIONAL BANCORP,16.06,10.86,15.91,16.25,15.87,2328611
WEIBO CORP.,8.44,10.94,8.4,8.52,8.39,2301233
INVIVO THERAPEUTICS HLD.,0.313,15.44,0.3477,0.3477,0.2806,2297821
SANOFI ADS,47.23,12.44,48.0,48.04,47.2,2296736
NEWS CORP.,24.7,10.28,24.68,24.8,24.46,2295970
DIGITAL WORLD ACQUISITION,40.6,0.94,40.3,42.18,38.05,2286432
ROYALTY PHARMA PLC,28.1,12.02,28.45,28.5,27.92,2275409
ABSCI CORP.,4.43,0.68,4.55,4.55,4.07,2265859
2SEVENTY BIO INC.,5.25,1.16,5.13,5.64,4.95,2255318
AUTOMATIC DATA PROCESSING INC.,248.81,0.7,247.58,249.83,246.73,2223044
LINDE PLC,407.09,10.38,407.02,408.93,404.24,2218561
MAXEON SOLAR TECHNOLOGIES,4.57,12.77,4.6,4.64,4.32,2197799
COSTAR GROUP INC.,83.94,10.78,83.72,84.44,82.64,2197000
SABRA HEALTH CARE REIT INC.,13.07,12.75,13.3,13.3,13.0,2188927
EVERGY INC.,50.7,12.03,51.16,51.24,50.26,2182704
IRONWOOD PHARMACEUTICALS INC.,14.59,10.07,14.51,14.76,14.29,2181868
VERTEX PHARMACEUTICALS INC.,424.68,12.12,430.0,431.29,424.31,2181464
GITLAB INC.,72.35,0.03,71.61,73.51,69.63,2175424
QORVO INC.,103.59,12.04,105.3,105.3,102.34,2167796
SEAGATE TECHNOLOGY HLD.,87.52,0.83,86.65,87.97,85.93,2160215
LIFESTANCE HEALTH GROUP INC.,6.01,6.56,5.46,6.11,5.28,2160083
VINFAST AUTO,5.72,13.54,5.9,5.94,5.55,2155044
MORPHIC HOLDING INC.,34.75,0.2,34.14,34.92,32.34,2150671
FUSION PHARMACEUTICALS INC.,10.6,14.68,11.21,11.23,10.12,2139648
NXP SEMICONDUCTORS N.V.,214.99,0.93,210.16,215.56,209.86,2136288
HUT 8 CORP.,7.28,12.54,7.28,7.54,7.16,2131317
ABCELLERA BIOLOGICS INC.,5.01,13.65,5.15,5.15,4.82,2125861
QURATE RETAIL INC. SERIES A,0.8501,12.66,0.8639,0.8709,0.832,2125856
MATTERPORT INC.,2.29,0.0,2.25,2.3,2.2,2098605
WISA TECHNOLOGIES INC.,0.0858,14.24,0.0892,0.0896,0.0822,2094234
VERRA MOBILITY CORP.,23.4,13.7,23.85,23.93,23.17,2071905
CORE SCIENTIFIC INC.,2.98,11.61,2.7,2.98,2.63,2068675
WENDY S CO.,19.07,11.14,19.2,19.2,18.83,2064630
TWIST BIOSCIENCE,36.59,10.01,38.0,38.04,34.33,2060783
NKARTA INC.,9.66,18.95,10.54,11.12,9.09,2045648
VROOM INC.,0.218,19.95,0.21,0.24,0.21,2042867
BGC GROUP INC.,7.21,0.56,7.11,7.26,7.03,2028717
COLUMBIA SPORTSWEAR CO.,81.36,10.87,73.96,81.57,73.51,2018904
EXACT SCIENCES CORP.,64.05,0.19,62.49,64.47,60.9,2015471
SABRE CORP.,4.15,10.95,4.13,4.22,4.03,2007635
COCA-COLA EUROPACIFIC PARTNERS PLC,69.54,10.67,69.42,70.01,69.19,1983489
OXFORD LANE CAPITAL,5.32,1.53,5.24,5.32,5.22,1981940
EXPEDIA GROUP INC.,151.05,10.31,150.71,153.39,146.55,1969314
URBAN OUTFITTERS INC.,40.61,2.91,39.26,40.89,39.19,1965172
MONGODB INC.,436.01,6.59,416.4,437.22,412.03,1959571
INDIE SEMICONDUCTOR INC.,6.07,11.3,6.07,6.13,5.91,1958978
ROSS STORES INC.,143.68,0.4,142.51,144.74,141.46,1956152
PAYCHEX INC.,121.77,0.55,121.19,122.09,120.19,1946192
ENCORE ENERGY CORP.,4.74,12.07,4.92,4.93,4.74,1938550
OPEN TEXT CORP.,43.07,12.31,45.47,45.47,40.46,1926003
TRACTOR SUPPLY CO.,232.94,10.83,234.07,234.56,226.52,1916363
FREIGHT TECHNOLOGIES INC.,0.227,11.3,0.24,0.245,0.22,1913578
MACROGENICS INC.,15.44,1.11,15.14,15.86,14.92,1912710
BRAINSTORM CELL THERAPEUTICS,0.39,1.3,0.385,0.41,0.33,1901748
VERTEX ENERGY INC,1.43,17.74,1.58,1.58,1.42,1898678
MANNKIND CORP.,3.28,13.81,3.38,3.38,3.22,1897537
60 DEGREES PHARMACEUTICALS,0.2879,0.49,0.29,0.2998,0.27,1886345
STANDARD BIOTOOLS INC.,2.43,6.11,2.35,2.43,2.25,1880519
INTELLIA THERAPEUTICS INC.,25.29,0.12,24.44,25.42,23.97,1876277
ALLIANT ENERGY CORP.,48.8,12.09,49.31,49.31,48.33,1872667
SOLAREDGE TECHNOLOGIES INC.,68.0,11.83,66.9,68.3,64.58,1872494
EMCORE CORP.,0.6566,4.96,0.64,0.72,0.63,1856790
HELLO GROUP INC. ADS,5.75,11.88,5.85,5.9,5.74,1846323
VAXART INC.,1.2,0.0,1.2,1.21,1.1,1836812
HEART TEST LABORATORIES INC.,0.1329,15.74,0.1388,0.14,0.132,1815005
REVANCE THERAPEUTICS INC.,5.37,4.27,5.21,5.47,5.03,1811549
AMERICAN COASTAL INSURANCE,11.41,16.17,12.18,12.41,11.4,1809729
TERADYNE INC.,96.37,1.29,94.95,96.69,93.87,1808983
OKTA INC.,82.78,12.5,83.6,84.27,81.7,1806447
MARAVAI LIFESCIENCES HLD.,5.24,12.6,5.3,5.32,5.14,1804186
BEYOND MEAT INC.,6.43,13.89,6.6,6.6,6.36,1787757
